abbe,5
aber,8
able,4
abus,8
ache,5
acme,5
acne,4
acra,5
acre,4
acte,5
aede,4
aere,4
aero,5
afro,6
agee,7
ages,6
agir,8
agis,7
agit,8
agro,6
ahan,9
ahou,10
aida,5
aide,4
aies,5
aile,3
aime,4
aine,3
aire,3
airs,4
aise,3
albe,5
alde,5
alea,6
alfa,6
alla,5
alle,4
allo,5
alma,6
alpe,5
alto,6
aman,8
amas,7
amen,7
amer,7
ames,6
amie,8
amis,7
anda,6
anes,6
ange,5
anis,7
anse,4
ante,5
anti,6
anus,7
anya,7
aout,6
apre,4
apte,5
arac,8
arak,9
ardu,9
area,7
arec,8
areu,8
aria,6
arme,5
aspi,7
asse,4
aste,5
asti,6
atre,4
aube,5
auge,5
aula,6
aune,4
aura,6
auto,7
avec,9
aveu,9
avez,10
avis,8
axel,9
axer,8
axis,8
ayez,11
baba,5
babi,4
bacs,5
baie,4
bail,5
bain,5
bale,4
bals,5
banc,6
bang,5
baou,10
bars,4
base,4
bath,4
bati,3
bats,4
bave,4
beat,7
beau,7
bebe,5
becs,6
bede,4
beer,8
beni,7
berg,6
berk,7
beta,5
bete,4
beuh,8
beur,7
bibi,5
bide,4
bief,7
bien,6
bile,3
bine,3
bing,4
binz,4
bire,3
bise,3
bite,4
bled,9
bles,9
blet,8
bleu,9
bloc,9
blog,9
blot,8
bock,9
boer,7
bois,6
boit,7
bola,6
bold,6
bols,6
bome,5
bond,6
boni,7
bons,6
bora,5
bord,5
bore,4
bouc,6
boue,5
bouf,6
boum,6
bour,6
bout,6
boxe,5
boys,7
brai,8
bran,7
bras,8
bref,8
brie,5
brin,6
brio,6
broc,8
brol,9
brou,9
brun,7
brut,7
buee,5
buis,6
bure,4
burg,5
buse,4
bute,4
buts,5
caca,5
cade,4
cadi,4
cafe,4
cage,4
caid,6
cale,4
calf,5
calo,5
came,4
camp,5
cane,4
cape,3
capo,4
care,4
cari,3
cars,4
cary,4
casa,5
case,4
cata,4
cate,4
cati,3
cato,4
cave,4
ceci,6
ceda,5
cede,4
cela,6
cene,4
cens,5
cent,5
cepe,3
cerf,7
ceux,7
chah,8
chai,8
chao,7
char,8
chas,8
chat,8
chef,10
cher,9
chez,10
chic,7
chie,6
choc,8
chou,9
chum,8
chut,7
ciao,6
ciel,8
cils,5
cime,4
cine,3
cinq,4
cire,3
cite,4
clac,8
clam,9
clan,8
clap,9
clef,11
cles,10
clin,7
cloc,8
clos,9
clou,9
coca,6
coco,6
cocu,7
coda,6
code,5
coin,7
coir,6
coit,7
coke,5
cola,6
colo,5
cols,6
colt,6
coma,6
cone,4
cons,5
coqs,6
cora,5
core,4
cote,4
coup,6
cour,6
cous,6
cout,6
crac,7
cran,7
crea,7
cree,6
cret,7
cria,6
crib,6
cric,6
crie,5
crin,6
cris,6
croc,7
crue,6
crus,7
crut,7
cube,5
cucu,8
cuir,7
cuit,7
culs,6
cure,4
cuti,4
cuve,5
cyan,8
czar,9
daba,5
dabe,5
dace,5
dada,5
daim,7
dais,6
dame,5
dano,5
dans,5
dard,5
date,4
daya,4
deca,5
deci,5
deco,4
decu,5
defi,6
deja,6
dela,6
demi,6
deni,6
dent,6
deux,6
diam,7
dico,3
diem,7
dieu,6
dime,4
dine,3
ding,4
dira,4
dire,3
dise,3
dite,4
dito,4
dits,5
diva,4
dive,3
doge,4
dois,6
doit,6
dole,4
dome,4
dona,6
donc,6
dong,5
dons,6
dont,6
dope,3
dore,4
dors,5
dort,5
dose,4
dote,4
doue,4
doux,5
drue,5
dual,8
duce,4
duel,7
dues,6
duit,7
dune,4
dupe,3
dura,5
dure,4
durs,5
eaux,7
ecus,8
edit,10
elan,9
elfe,6
elie,5
elle,5
elue,6
elus,7
embu,11
emet,9
emeu,10
emir,9
emis,8
emit,9
emue,7
emut,8
ente,6
epis,9
eros,7
erre,6
esse,5
este,6
etes,7
etre,5
eues,6
exil,11
exit,10
face,5
fada,6
fade,5
fado,6
faim,6
fais,6
fait,5
faix,5
fame,5
fana,5
fane,4
fang,5
fans,5
faon,6
fard,5
fare,4
faro,5
fart,4
faut,5
faux,6
feal,10
fees,6
fele,4
fend,5
fera,6
fers,5
feru,6
feta,5
fete,4
fetu,5
feuj,8
feux,7
feve,5
fias,5
fiat,6
fief,7
fiel,7
fier,6
fieu,6
fifi,5
fige,3
fila,4
file,3
film,4
fils,4
fine,3
fini,4
fins,4
fion,7
fixa,5
fixe,4
flac,8
flan,8
flat,7
flic,8
floc,8
flop,8
flot,7
flou,8
fluo,8
flux,7
foie,5
foil,6
foin,6
fois,6
fond,6
font,6
foot,6
fort,5
four,6
fous,6
fout,6
frac,8
frai,9
fret,7
fric,7
frio,7
frit,6
froc,8
fuie,5
fuir,6
fuis,6
fuit,6
fume,5
fung,6
fute,4
futs,5
gaba,6
gade,5
gaga,5
gage,4
gaie,4
gail,5
gain,5
gais,5
gala,5
gale,4
gang,6
gant,6
gare,4
gari,3
gars,4
gata,5
gate,4
gave,4
gays,5
gaze,5
gele,5
gene,4
gens,5
gent,5
gera,5
gere,4
ghat,9
giga,6
gire,3
gite,4
glas,8
glop,9
gogo,6
gold,6
gond,6
gone,5
gong,5
gord,5
gore,4
goum,7
gour,6
gout,6
gram,8
gras,7
grau,8
grec,8
gres,7
gril,6
gris,6
grog,8
gros,7
grue,6
guet,9
haha,6
haie,4
haik,5
hair,5
hais,5
hait,5
haka,6
hale,4
halo,5
hard,5
hare,4
haro,5
hart,4
hase,5
hata,5
hate,4
haut,5
have,4
hein,7
hemi,7
here,4
heur,8
hier,6
hile,3
hoho,7
hola,7
homo,8
hors,6
hote,4
hotu,5
houe,5
houp,6
houx,6
huee,5
huer,6
huit,6
hune,5
hure,4
hypo,6
ibis,7
igne,9
igue,10
iles,10
ilot,8
imbu,12
inde,7
indo,8
indu,8
info,9
inne,8
insu,9
inti,7
iode,6
iota,6
irai,8
iras,7
iris,6
issu,10
jade,5
jais,6
jaja,5
java,5
jeta,5
jete,4
jets,5
jeux,7
jeze,4
joie,5
joli,4
jonc,7
joua,6
joue,5
joug,6
joui,5
jour,6
jube,4
juge,4
juif,7
juin,8
jupe,3
jura,5
jure,4
jury,5
jute,4
kadi,4
kaki,4
kali,3
kama,5
kami,4
kana,5
kapo,5
kari,3
kart,4
kata,5
kava,4
kawa,5
keuf,9
keum,10
khan,10
kief,8
kiki,3
kilo,4
kine,3
kino,4
kipa,2
kiva,3
kiwi,4
komi,5
kora,5
kore,4
koto,6
krak,10
kula,7
lacs,5
laic,7
laid,6
lais,6
lait,6
lala,5
lama,6
lame,5
laps,5
lard,5
lare,4
lats,5
lava,5
lave,4
lent,6
lest,7
leur,8
leva,5
leve,4
lice,4
liee,4
lien,5
lier,5
lies,5
lieu,5
lige,3
lime,4
lion,6
lira,4
lire,3
lise,3
lits,6
live,3
lobe,4
loch,7
loco,6
loge,4
loin,7
loir,6
lois,6
lolo,5
long,5
lope,3
lori,7
lors,6
loti,6
loto,6
loue,4
louf,5
loup,5
love,4
lues,6
luge,4
luis,6
luit,7
lune,5
luxe,5
lyre,4
lyse,4
mage,4
maia,5
maie,4
main,5
mais,5
maja,5
majo,6
maki,4
male,4
mali,3
malm,4
malt,4
mama,5
mame,5
mami,4
mana,5
mara,4
marc,4
mare,4
mari,3
mars,4
maso,6
mate,4
mati,3
mats,4
maux,7
maxi,4
maya,4
mayo,5
meat,6
mecs,6
mega,5
mele,5
melo,6
meme,5
memo,6
mena,5
mene,4
mens,5
ment,5
menu,5
mere,4
mers,5
mesa,5
meta,4
mets,5
meuf,9
meuh,9
miam,6
miao,5
mica,3
midi,5
miel,7
mien,6
mime,4
mimi,5
mine,3
ming,4
mini,4
mino,4
mire,3
miro,4
mise,3
mita,3
mite,4
mlle,5
moco,6
mode,5
moho,6
mois,6
moka,7
moko,6
mole,4
moly,5
mome,5
mono,5
mons,6
mont,6
moos,6
mord,5
more,4
moro,5
mors,5
mort,5
moto,6
mots,5
moue,5
mous,6
mout,6
muer,7
muet,8
mule,5
muni,5
mure,4
murs,5
musc,5
muse,4
mute,4
nabi,5
nada,6
naga,5
nage,4
naif,6
nain,5
nait,6
naja,5
nana,6
nano,5
nant,6
nard,5
nase,5
nave,4
naze,5
nazi,6
nees,7
nene,4
neon,7
nepe,3
nerf,7
nets,6
neuf,8
neve,4
nids,7
nier,6
nies,6
niet,7
nixe,5
noce,4
noie,4
noir,5
noix,5
nome,4
noms,5
none,4
nope,3
nord,6
nota,5
note,4
noua,5
noue,4
nous,5
nova,6
noye,4
nuee,6
nuer,7
nues,6
nuit,7
nuls,7
obus,9
ocre,5
oeuf,9
ogre,6
oies,6
oing,4
olle,5
omis,8
once,9
onde,8
onze,9
opus,10
orbe,7
oree,7
orge,7
orin,6
orme,6
orne,7
oser,8
oses,7
osez,8
oter,9
ouie,6
ouir,7
oups,6
ours,5
ovin,7
oxer,9
pacs,4
page,3
paie,3
pain,4
pair,4
paix,4
pale,3
pali,2
palu,3
pane,3
pano,4
pans,4
paon,5
papa,2
pape,2
papi,1
papy,2
para,3
parc,3
pare,3
pari,2
parr,3
pars,3
part,3
paru,3
paso,5
pate,3
pati,2
pave,3
paya,3
paye,3
pays,4
pean,7
peau,7
pede,3
pend,4
pene,3
peon,6
pepe,2
perd,4
pere,3
peri,3
perm,4
pers,4
pese,3
peso,4
pete,3
peuh,8
peul,8
peur,7
peut,8
peux,7
peze,3
phot,8
piaf,8
pian,7
pica,2
pico,2
pied,7
pier,6
pieu,6
pige,2
pile,2
pine,2
ping,3
pins,3
pion,6
piot,7
pipa,1
pipe,1
pipi,0
pipo,1
pire,2
pise,2
pita,2
pive,2
plan,8
plat,8
play,9
plet,7
plia,5
plie,4
plis,5
ploc,8
plop,9
plus,6
plut,7
pneu,7
pogo,5
poil,6
pois,5
poix,5
pole,3
poli,3
polo,4
poly,4
pong,4
pont,5
pope,2
porc,4
pore,3
port,4
posa,4
pose,3
post,4
pote,3
pots,4
pouf,6
pouh,7
pour,6
poux,6
pres,6
pret,6
pria,5
prie,4
prin,5
pris,5
prit,5
prix,5
proc,7
prof,7
pros,6
psst,5
pubs,5
puce,3
puer,6
pues,5
puis,5
puni,6
punt,6
pupe,2
pure,3
purs,4
pute,3
quel,8
rabe,4
race,4
rade,4
rafe,4
raff,5
raga,4
rage,4
raia,4
raid,5
raie,4
rail,5
rais,5
raja,4
raki,5
rale,4
rame,4
rami,5
rang,6
rani,6
ranz,7
rapa,3
rape,3
rapt,4
rare,4
rase,4
rate,4
rats,5
rave,4
ravi,5
raye,4
reac,10
real,9
recu,6
reel,8
rein,7
reis,6
relu,6
rend,5
rene,4
reps,7
repu,6
rets,6
reva,5
reve,4
revu,5
rhum,9
rial,8
ride,4
riel,7
rien,6
riez,7
rime,4
rira,4
rire,3
rise,3
rite,4
rive,3
rixe,4
robe,5
rock,8
rocs,7
roda,6
rode,5
rois,6
role,4
rond,6
rose,4
rote,4
roti,5
roto,5
roue,5
rouf,6
roux,6
rude,5
ruee,5
ruer,6
rues,6
rune,5
ruse,4
sacs,5
sado,7
saga,5
sage,4
saie,4
sain,5
sais,5
sait,5
sake,4
saki,4
sale,4
sali,3
sana,5
sang,6
sans,5
sape,3
sara,4
sari,3
sati,3
sauf,7
saur,7
saut,6
saxo,8
scie,5
seau,7
secs,6
secu,6
sein,6
sels,6
seme,5
semi,6
sene,4
sens,5
sent,5
sept,6
sera,5
serf,6
sers,5
sert,6
seul,7
seve,5
sexe,5
sexy,6
shah,9
shit,6
siam,7
sida,6
sidi,6
sied,7
sien,6
silo,3
sima,7
sino,3
sipo,2
sire,3
site,4
situ,5
skis,6
snif,7
soda,7
sofa,7
soft,6
soie,5
soif,6
soin,6
soir,6
sois,6
soit,6
soja,8
sole,4
